TMW Order #,TMW Leg #,Doc Type,Carrier Invoice #,Carrier Amount,Carrier Invoice Date,Approved Date,Transflo
116141,116776,POD,,,,1/24/2024,COMPLETED
115671,116305,BL,,,,1/24/2024,COMPLETED
104876,105472,POD,,,,1/24/2024,COMPLETED
117358,118000,POD,,,,1/25/2024,COMPLETED
115671,116305,POD,,,,1/24/2024,COMPLETED
116690,117327,POD,,,,1/24/2024,COMPLETED
116251,116887,POD,,,,1/25/2024,COMPLETED
116166,116801,BL,,,,1/24/2024,COMPLETED
116690,117327,WGT,,,,1/24/2024,COMPLETED
115108,115742,BL,,,,1/24/2024,COMPLETED
115108,115742,BL,,,,1/24/2024,COMPLETED
115385,116019,POD,,,,1/24/2024,COMPLETED
115556,116190,POD,,,,1/24/2024,COMPLETED
114104,114733,BL,,,,1/24/2024,COMPLETED
112242,112868,BL,,,,1/24/2024,COMPLETED
114701,115334,POD,,,,1/24/2024,COMPLETED
108136,108751,POD,,,,1/24/2024,COMPLETED
113354,113986,BL,,,,1/24/2024,COMPLETED
111839,112461,POD,,,,1/24/2024,COMPLETED
115161,115795,POD,,,,1/24/2024,COMPLETED
113932,114559,POD,,,,1/24/2024,COMPLETED
114968,115602,BL,,,,1/24/2024,COMPLETED
113810,114437,POD,,,,1/25/2024,COMPLETED
94287,94840,POD,,,,1/24/2024,COMPLETED
112358,112985,BL,,,,1/24/2024,COMPLETED
116850,117487,POD,,,,1/24/2024,COMPLETED
112291,112917,POD,,,,1/24/2024,COMPLETED
111181,111805,POD,,,,1/24/2024,COMPLETED
112375,113002,BL,,,,1/24/2024,COMPLETED
114467,115100,POD,,,,1/24/2024,COMPLETED
112926,113557,POD,,,,1/24/2024,COMPLETED
105277,105874,POD,,,,1/24/2024,COMPLETED
116063,116698,BL,,,,1/24/2024,COMPLETED
105580,106180,POD,,,,1/24/2024,COMPLETED
112347,112974,BL,,,,1/24/2024,COMPLETED
116684,117321,BL,,,,1/24/2024,COMPLETED
116846,117483,BL,,,,1/24/2024,COMPLETED
116116,116751,BL,,,,1/24/2024,COMPLETED
116116,116751,BL,,,,1/24/2024,COMPLETED
116078,116713,POD,,,,1/24/2024,COMPLETED
116078,116713,BL,,,,1/24/2024,COMPLETED
112373,113000,BL,,,,1/24/2024,COMPLETED
115812,116445,POD,,,,1/24/2024,COMPLETED
114152,114782,BL,,,,1/25/2024,COMPLETED
111821,112443,POD,,,,1/25/2024,COMPLETED
114335,114967,BL,,,,1/25/2024,COMPLETED
114737,115370,POD,,,,1/25/2024,COMPLETED
117174,117814,BL,,,,1/25/2024,COMPLETED
114735,115368,POD,,,,1/25/2024,COMPLETED
115864,116498,POD,,,,1/25/2024,COMPLETED
115740,116373,CI,19003,3100,1/25/2024,1/25/2024,APPROVED
116936,117573,POD,,,,1/25/2024,COMPLETED
115363,115997,POD,,,,1/25/2024,COMPLETED
117298,117938,BL,,,,1/25/2024,COMPLETED
115547,116181,POD,,,,1/25/2024,COMPLETED
114817,115450,POD,,,,1/25/2024,COMPLETED
115661,116295,CI,RB-101105,1850,1/25/2024,1/25/2024,APPROVED
115826,116459,POD,,,,1/25/2024,COMPLETED
115826,116459,CI,252503,510,1/25/2024,1/25/2024,APPROVED - AUTO
115706,116340,CI,FV6266,2660,1/25/2024,1/25/2024,APPROVED
116033,116668,CI,116033,660,1/25/2024,1/25/2024,APPROVED
114696,115329,CI,1351,4000,1/25/2024,1/25/2024,APPROVED
113934,114561,CI,113934,1200,1/25/2024,1/25/2024,APPROVED
116276,116912,BL,,,,1/24/2024,COMPLETED
117071,117710,CI,OTR-13910903,1375,1/24/2024,1/24/2024,APPROVED
115276,115910,POD,,,,1/25/2024,COMPLETED
115547,116181,POD,,,,1/25/2024,COMPLETED
116164,116799,BL,,,,1/25/2024,COMPLETED
114767,115400,BL,,,,1/25/2024,COMPLETED
117174,117814,CI,12568,3300,1/25/2024,1/25/2024,APPROVED
117128,117768,BL,,,,1/25/2024,COMPLETED
117473,118115,BL,,,,1/25/2024,COMPLETED
115671,116305,CI,5170,3500,1/24/2024,1/24/2024,APPROVED
116469,117105,POD,,,,1/25/2024,COMPLETED
116499,117135,BL,,,,1/25/2024,COMPLETED
116500,117136,BL,,,,1/25/2024,COMPLETED
115171,115805,BL,,,,1/25/2024,COMPLETED
114935,115569,BL,,,,1/25/2024,COMPLETED
115747,116380,CI,151078,1150,1/25/2024,1/25/2024,APPROVED
115845,116478,BL,,,,1/25/2024,COMPLETED
115740,116373,POD,,,,1/25/2024,COMPLETED
113814,114441,WGT,,,,1/25/2024,COMPLETED
113527,114158,CI,151116,1050,1/25/2024,1/25/2024,APPROVED
113521,114152,CI,151090,1050,1/25/2024,1/25/2024,APPROVED
115561,116195,BL,,,,1/25/2024,COMPLETED
113525,114156,CI,151132,1150,1/25/2024,1/25/2024,APPROVED
117298,117938,CI,12585,200,1/25/2024,1/25/2024,APPROVED
114448,115080,CI,729,1900,1/25/2024,1/25/2024,APPROVED
115653,116287,CI,79903,700,1/25/2024,1/25/2024,APPROVED
114885,115518,CI,3150,2550,1/25/2024,1/25/2024,APPROVED
112242,112868,CI,M12245,1050,1/25/2024,1/25/2024,APPROVED
117128,117768,CI,12566,3300,1/25/2024,1/25/2024,APPROVED
116382,117018,CI,116382,800,1/25/2024,1/25/2024,APPROVED
116383,117019,CI,116383,800,1/25/2024,1/25/2024,APPROVED
115705,116339,BL,,,,1/25/2024,COMPLETED
114314,114946,CI,102241,1025,1/25/2024,1/25/2024,APPROVED - AUTO
114314,114946,POD,,,,1/25/2024,COMPLETED
116691,117328,POD,,,,1/25/2024,COMPLETED
116239,116875,POD,,,,1/25/2024,COMPLETED
116239,116875,POD,,,,1/25/2024,COMPLETED
115706,116340,BL,,,,1/25/2024,COMPLETED
115661,116295,POD,,,,1/25/2024,COMPLETED
113814,114441,BL,,,,1/25/2024,COMPLETED
116236,116872,POD,,,,1/25/2024,COMPLETED
115659,116293,POD,,,,1/25/2024,COMPLETED
115052,115686,CI,540026,2550,1/25/2024,1/25/2024,APPROVED
115547,116181,BL,,,,1/25/2024,COMPLETED
114250,114880,POD,,,,1/25/2024,COMPLETED
114401,115033,CI,540028,3400,1/25/2024,1/25/2024,APPROVED
111717,112338,POD,,,,1/25/2024,COMPLETED
111410,112031,BL,,,,1/25/2024,COMPLETED
111116,111739,POD,,,,1/25/2024,COMPLETED
111116,111739,BL,,,,1/25/2024,COMPLETED
115815,116448,POD,,,,1/25/2024,COMPLETED
116238,116874,CI,OTR-13913460,600,1/25/2024,1/25/2024,APPROVED
114851,115484,CI,3481,545,1/24/2024,1/24/2024,APPROVED
111411,112032,POD,,,,1/25/2024,COMPLETED
112254,112880,POD,,,,1/25/2024,COMPLETED
116164,116799,POD,,,,1/25/2024,COMPLETED
116230,116866,POD,,,,1/25/2024,COMPLETED
111919,112541,POD,,,,1/25/2024,COMPLETED
116612,117249,POD,,,,1/25/2024,COMPLETED
113896,114523,POD,,,,1/25/2024,COMPLETED
110080,110699,BL,,,,1/25/2024,COMPLETED
117052,117691,BL,,,,1/25/2024,COMPLETED
113950,114577,POD,,,,1/25/2024,COMPLETED
116293,116929,WGT,,,,1/25/2024,COMPLETED
116293,116929,POD,,,,1/25/2024,COMPLETED
116293,116929,POD,,,,1/25/2024,COMPLETED
116293,116929,POD,,,,1/25/2024,COMPLETED
117358,118000,CI,447535,1300,1/25/2024,1/25/2024,APPROVED
117374,118016,POD,,,,1/25/2024,COMPLETED
117175,117815,POD,,,,1/25/2024,COMPLETED
117090,117729,POD,,,,1/25/2024,COMPLETED
113810,114437,CI,83951,1432,1/25/2024,1/25/2024,APPROVED
117090,117729,WGT,,,,1/25/2024,COMPLETED
116284,116920,CI,169994,1600,1/25/2024,1/25/2024,APPROVED
115388,116022,CI,178413,700,1/25/2024,1/25/2024,APPROVED
105580,106180,CI,9789,487.5,1/24/2024,1/24/2024,APPROVED
104882,105478,CI,9720,537.5,1/24/2024,1/24/2024,APPROVED
116068,116703,POD,,,,1/26/2024,COMPLETED
116842,117479,POD,,,,1/25/2024,COMPLETED
116382,117018,BL,,,,1/25/2024,COMPLETED
116238,116874,POD,,,,1/25/2024,COMPLETED
116842,117479,WGT,,,,1/25/2024,COMPLETED
115600,116234,POD,,,,1/26/2024,COMPLETED
116620,117257,POD,,,,1/25/2024,COMPLETED
116276,116912,CI,2024-2020,550,1/24/2024,1/24/2024,APPROVED
116611,117248,POD,,,,1/25/2024,COMPLETED
116611,117248,POD,,,,1/25/2024,COMPLETED
116072,116707,POD,,,,1/26/2024,COMPLETED
116383,117019,BL,,,,1/25/2024,COMPLETED
116072,116707,BL,,,,1/26/2024,COMPLETED
116616,117253,POD,,,,1/25/2024,COMPLETED
115864,116498,POD,,,,1/25/2024,COMPLETED
115670,116304,POD,,,,1/26/2024,COMPLETED
115670,116304,BL,,,,1/26/2024,COMPLETED
115388,116022,BL,,,,1/25/2024,COMPLETED
114696,115329,BL,,,,1/25/2024,COMPLETED
111832,,POD,,,,1/25/2024,COMPLETED
114111,114740,CI,471986,500,1/25/2024,1/25/2024,APPROVED
116691,117328,CI,OTR-13917374,3400,1/25/2024,1/25/2024,APPROVED
116469,117105,CI,OTR-13918704,1875,1/25/2024,1/25/2024,APPROVED
113217,113850,POD,,,,1/25/2024,COMPLETED
113723,114354,CI,113723,1000,1/24/2024,1/24/2024,APPROVED
115427,116061,CI,115427,950,1/24/2024,1/24/2024,APPROVED
115812,116445,CI,25615,2500,1/24/2024,1/24/2024,APPROVED
116620,117257,CI,287512,1135,1/25/2024,1/25/2024,APPROVED
115363,115997,CI,51074,1115,1/25/2024,1/25/2024,APPROVED
115930,116565,CI,51111,1350,1/25/2024,1/25/2024,APPROVED
113814,114441,CI,13112616A,2500,1/25/2024,1/25/2024,APPROVED
114839,115472,POD,,,,1/25/2024,COMPLETED
112291,112917,CI,4793GGT,3151,1/24/2024,1/24/2024,APPROVED
